id,Geography1,Area (sq km),Estimated Population mid-2018,2018 people per sq. km
Barking and Dagenham,London Borough,36,211998,5871
Barnet,London Borough,87,392140,4520
Barnsley,Metropolitan District,329,245199,745
Bath and North East Somerset,Unitary Authority,346,192106,555
Bedford,Unitary Authority,476,171623,360
Bexley,London Borough,61,247258,4082
Birmingham,Metropolitan District,268,1141374,4262
Blackburn with Darwen,Unitary Authority,137,148942,1087
Blackpool,Unitary Authority,35,139305,3997
Blaenau Gwent,Unitary Authority,109,69713,641
Bolton,Metropolitan District,140,285372,2041
"Bournemouth, Christchurch and Poole",Unitary Authority,161,395784,2453
Bracknell Forest,Unitary Authority,109,121676,1112
Bradford,Metropolitan District,366,537173,1466
Brent,London Borough,43,330795,7652
Bridgend,Unitary Authority,251,144876,578
Brighton and Hove,Unitary Authority,83,290395,3508
"Bristol, City of",Unitary Authority,110,463405,4224
Bromley,London Borough,150,331096,2205
Buckinghamshire,County,1565,540059,345
Bury,Metropolitan District,99,190108,1911
Caerphilly,Unitary Authority,277,181019,653
Calderdale,Metropolitan District,364,210082,577
Cambridgeshire,County,3046,651482,214
Camden,London Borough,22,262226,12035
Cardiff,Unitary Authority,141,364248,2585
Carmarthenshire,Unitary Authority,2370,187568,79
Central Bedfordshire,Unitary Authority,716,283606,396
Ceredigion,Unitary Authority,1786,72992,41
Cheshire East,Unitary Authority,1166,380790,326
Cheshire West and Chester,Unitary Authority,917,340502,371
Conwy,Unitary Authority,1126,117181,104
Cornwall,Unitary Authority,3546,565968,160
County Durham,Unitary Authority,2226,526980,237
Coventry,Metropolitan District,99,366785,3718
Croydon,London Borough,86,385346,4455
Cumbria,County,6767,498888,74
Darlington,Unitary Authority,197,106566,540
Denbighshire,Unitary Authority,837,95330,114
Derby,Unitary Authority,78,257174,3296
Derbyshire,County,2547,796142,313
Devon,County,6564,795286,121
Doncaster,Metropolitan District,568,310542,547
Dorset,Unitary Authority,2491,376484,151
Dudley,Metropolitan District,98,320626,3273
Ealing,London Borough,56,341982,6157
East Riding of Yorkshire,Unitary Authority,2405,339614,141
East Sussex,County,1709,554590,325
Enfield,London Borough,81,333869,4130
Essex,County,3464,1477764,427
Flintshire,Unitary Authority,437,155593,356
Gateshead,Metropolitan District,142,202508,1423
Gloucestershire,County,2653,633558,239
Greenwich,London Borough,47,286186,6046
Gwynedd,Unitary Authority,2535,124178,49
Halton,Unitary Authority,79,128432,1624
Hammersmith and Fulham,London Borough,16,185426,11308
Hampshire,County,3679,1376316,374
Haringey,London Borough,30,270624,9143
Harrow,London Borough,50,250149,4957
Hartlepool,Unitary Authority,94,93242,997
Havering,London Borough,112,257810,2295
"Herefordshire, County of",Unitary Authority,2180,192107,88
Hertfordshire,County,1643,1184365,721
